"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Home Value","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhv","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85263","AZ","85263","=""85263""","775800","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85264","AZ","85264","=""85264""","389600","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85266","AZ","85266","=""85266""","1026900","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85268","AZ","85268","=""85268""","576700","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85281","AZ","85281","=""85281""","364200","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85282","AZ","85282","=""85282""","370000","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85283","AZ","85283","=""85283""","409800","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85284","AZ","85284","=""85284""","646300","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85286","AZ","85286","=""85286""","548900","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85295","AZ","85295","=""85295""","527400","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85296","AZ","85296","=""85296""","496200","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85297","AZ","85297","=""85297""","559200","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85298","AZ","85298","=""85298""","598300","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85301","AZ","85301","=""85301""","218100","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85302","AZ","85302","=""85302""","326600","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85303","AZ","85303","=""85303""","286800","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85304","AZ","85304","=""85304""","345400","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85305","AZ","85305","=""85305""","410100","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85306","AZ","85306","=""85306""","342000","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85307","AZ","85307","=""85307""","368700","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85308","AZ","85308","=""85308""","420100","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85309","AZ","85309","=""85309""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85310","AZ","85310","=""85310""","489400","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85320","AZ","85320","=""85320""","397500","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85322","AZ","85322","=""85322""","237200","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85323","AZ","85323","=""85323""","335000","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85326","AZ","85326","=""85326""","342400","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85329","AZ","85329","=""85329""","243600","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85331","AZ","85331","=""85331""","674400","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85333","AZ","85333","=""85333""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85335","AZ","85335","=""85335""","282000","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85337","AZ","85337","=""85337""","120800","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85338","AZ","85338","=""85338""","396100","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85339","AZ","85339","=""85339""","398100","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85340","AZ","85340","=""85340""","499700","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85343","AZ","85343","=""85343""","550000","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85345","AZ","85345","=""85345""","278300","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85351","AZ","85351","=""85351""","250300","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85353","AZ","85353","=""85353""","344600","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85354","AZ","85354","=""85354""","277600","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85355","AZ","85355","=""85355""","443700","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85361","AZ","85361","=""85361""","388800","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85363","AZ","85363","=""85363""","282900","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","317100","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","355800","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85375","AZ","85375","=""85375""","350700","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85377","AZ","85377","=""85377""","1058600","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","235200","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","413500","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","407900","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","408000","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","607700","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","453800","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","420000","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","465800","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","364700","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","524600","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","451000","2019-2023","2020","Census","Maricopa (County, 2022)"
