"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85262","AZ","85262","=""85262""","173795","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85263","AZ","85263","=""85263""","137200","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85264","AZ","85264","=""85264""","58333","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85266","AZ","85266","=""85266""","157137","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85268","AZ","85268","=""85268""","105288","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85281","AZ","85281","=""85281""","59084","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85282","AZ","85282","=""85282""","79084","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85283","AZ","85283","=""85283""","81073","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85284","AZ","85284","=""85284""","154663","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85286","AZ","85286","=""85286""","118759","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85295","AZ","85295","=""85295""","116288","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85296","AZ","85296","=""85296""","117120","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85297","AZ","85297","=""85297""","132684","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85298","AZ","85298","=""85298""","146688","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85301","AZ","85301","=""85301""","47422","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85302","AZ","85302","=""85302""","62516","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85303","AZ","85303","=""85303""","75077","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85304","AZ","85304","=""85304""","82976","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85305","AZ","85305","=""85305""","99565","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85306","AZ","85306","=""85306""","82060","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85307","AZ","85307","=""85307""","78540","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85308","AZ","85308","=""85308""","95512","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85309","AZ","85309","=""85309""","N/A","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85310","AZ","85310","=""85310""","117095","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85320","AZ","85320","=""85320""","40208","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85322","AZ","85322","=""85322""","74125","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85323","AZ","85323","=""85323""","79903","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85326","AZ","85326","=""85326""","91444","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85329","AZ","85329","=""85329""","36292","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85331","AZ","85331","=""85331""","123710","2019-2023","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85333","AZ","85333","=""85333""","43269","2019-2023","2020","Census","Maricopa (County, 2022)"
